fips,pollutant,year,pred_wght,state_abbr,lat,lon
49001,co,1990,0.51348173419822,UT,38.2997093980993,-112.776410318298
49003,co,1990,0.69217348078039,UT,41.5910270435218,-112.099936388194
49005,co,1990,0.7622183668513,UT,41.7443369753941,-111.840606368059
49007,co,1990,0.654047901976358,UT,39.6016290379853,-110.777271924497
49009,co,1990,0.523390109537299,UT,40.9678584513692,-109.646155807365
49011,co,1990,0.882368358598795,UT,41.0195707346996,-111.958836533661
49013,co,1990,0.611091021873489,UT,40.2894083194497,-110.16534938464
49015,co,1990,0.612161622266764,UT,39.2160518586006,-110.9253240707
49017,co,1990,0.548966309551431,UT,37.761851450116,-112.088923433875
49019,co,1990,0.575072239457995,UT,38.569099598916,-109.530232411924
49021,co,1990,0.730103535970366,UT,37.7091593852219,-113.073797045253
49023,co,1990,0.713851569392934,UT,39.7503682119852,-111.894820124927
49025,co,1990,0.63964688322807,UT,37.1148368701754,-112.425845052632
49027,co,1990,0.61597358849876,UT,39.2146051027753,-112.495065344317
49029,co,1990,0.524270866828599,UT,41.073209483578,-111.718139613476
49031,co,1990,0.487454780848329,UT,38.2884787917738,-112.208066195373
49033,co,1990,0.557153866166078,UT,41.7668911219081,-111.279030477032
49035,co,1990,1.04304079901909,UT,40.6463220871068,-111.922750444566
49037,co,1990,0.562764819001763,UT,37.5238815271938,-109.520258849858
49039,co,1990,0.622754841600172,UT,39.3805494536698,-111.60655510028
49041,co,1990,0.63545217257956,UT,38.7747415152389,-112.041913902509
49043,co,1990,0.608331830965753,UT,40.7278118957163,-111.47074911904
49045,co,1990,0.689888049675358,UT,40.5607820553781,-112.379282575836
49047,co,1990,0.634681802902909,UT,40.4264818982448,-109.597110807659
49049,co,1990,0.861439692878327,UT,40.2723486568944,-111.731664994076
49051,co,1990,0.592723306587335,UT,40.5056975478113,-111.412290182745
49053,co,1990,0.673170939108714,UT,37.1351630409441,-113.51971034283
49055,co,1990,0.554699597192225,UT,38.3616346652268,-111.467329013679
49057,co,1990,0.859825712873428,UT,41.2246134542199,-111.990295654656
49001,co,1991,0.516239409865741,UT,38.2997093980993,-112.776410318298
49003,co,1991,0.712637130777789,UT,41.5910270435218,-112.099936388194
49005,co,1991,0.804153213694788,UT,41.7443369753941,-111.840606368059
49007,co,1991,0.554470218053544,UT,39.6016290379853,-110.777271924497
49009,co,1991,0.444086337110482,UT,40.9678584513692,-109.646155807365
49011,co,1991,0.92724595468205,UT,41.0195707346996,-111.958836533661
49013,co,1991,0.504380617144086,UT,40.2894083194497,-110.16534938464
49015,co,1991,0.597298219934402,UT,39.2160518586006,-110.9253240707
49017,co,1991,0.504345294470224,UT,37.761851450116,-112.088923433875
49019,co,1991,0.40931763901355,UT,38.569099598916,-109.530232411924
49021,co,1991,0.721086246279488,UT,37.7091593852219,-113.073797045253
49023,co,1991,0.7276381041382,UT,39.7503682119852,-111.894820124927
49025,co,1991,0.508429165754386,UT,37.1148368701754,-112.425845052632
49027,co,1991,0.658307089978405,UT,39.2146051027753,-112.495065344317
49029,co,1991,0.495571757313338,UT,41.073209483578,-111.718139613476
49031,co,1991,0.433639503213368,UT,38.2884787917738,-112.208066195373
49033,co,1991,0.530316094964664,UT,41.7668911219081,-111.279030477032
49035,co,1991,1.12066645873327,UT,40.6463220871068,-111.922750444566
49037,co,1991,0.468238899837244,UT,37.5238815271938,-109.520258849858
49039,co,1991,0.592453981180361,UT,39.3805494536698,-111.60655510028
49041,co,1991,0.605510693779444,UT,38.7747415152389,-112.041913902509
49043,co,1991,0.597319874160335,UT,40.7278118957163,-111.47074911904
49045,co,1991,0.772731502679584,UT,40.5607820553781,-112.379282575836
49047,co,1991,0.535876640289677,UT,40.4264818982448,-109.597110807659
49049,co,1991,0.892604245512657,UT,40.2723486568944,-111.731664994076
49051,co,1991,0.60278627679558,UT,40.5056975478113,-111.412290182745
49053,co,1991,0.583108303884444,UT,37.1351630409441,-113.51971034283
49055,co,1991,0.490883389488841,UT,38.3616346652268,-111.467329013679
49057,co,1991,0.920661217786158,UT,41.2246134542199,-111.990295654656
49001,co,1992,0.611163563735103,UT,38.2997093980993,-112.776410318298
49003,co,1992,0.666281931765883,UT,41.5910270435218,-112.099936388194
49005,co,1992,0.680677162068598,UT,41.7443369753941,-111.840606368059
49007,co,1992,0.657764327477456,UT,39.6016290379853,-110.777271924497
49009,co,1992,0.598335783758262,UT,40.9678584513692,-109.646155807365
49011,co,1992,0.880757981457131,UT,41.0195707346996,-111.958836533661
49013,co,1992,0.593786258021175,UT,40.2894083194497,-110.16534938464
49015,co,1992,0.605639972212099,UT,39.2160518586006,-110.9253240707
